Categoria,Titulo,Texto base,CTA
Comentarios,¿Qué te está frenando ahora mismo?,"Si hoy tuvieses que ser sincero, ¿qué es lo que más te bloquea para vender online? A veces no falta talento, falta claridad.",Comenta la palabra BLOQUEO.
Comentarios,No necesitas publicar más,No necesitas publicar más. Necesitas publicar algo que conecte con un problema real y abra una conversación.,Escribe CLARIDAD y te doy un ejemplo.
Comentarios,Improvisar vs sistema,Improvisar consume energía. Un sistema te libera para ejecutar mejor y con menos ansiedad.,¿Eres más de improvisar o planificar?
Comentarios,Pregunta de diagnóstico,"Si quisieras conseguir tu primera conversación de venta esta semana, ¿qué paso te costaría más?","Comenta el número 1, 2 o 3."
Comentarios,Contenido que no pregunta,"Mucho contenido explica, poco contenido pregunta. Y sin preguntas, casi nunca llegan conversaciones.",¿Te pasa?
Educativo,3 errores,"Tres errores al empezar: publicar solo enlaces, hablar de ti y no del problema, y no cerrar con CTA claro.",Guarda este post.
Educativo,Estructura simple,"Gancho, problema, recomendación y CTA. Esa estructura te ahorra tiempo y mejora tus publicaciones.",¿Quieres un ejemplo?
Educativo,Qué sí compartir,"Comparte errores, historias, aprendizajes, comparaciones y preguntas. Eso genera confianza antes de vender.",Guárdalo para esta semana.
Educativo,Cómo responder comentarios,"No respondas con el enlace directo. Primero valida, pregunta y lleva a conversación cuando tenga sentido.",Escribe MENSAJE si quieres una plantilla.
Educativo,Qué medir,"No midas solo ventas: mide comentarios, mensajes, respuestas y seguimientos.",¿Qué estás midiendo tú?
Solución,Recurso listo,Preparé una ruta de publicaciones para quien quiere dejar de improvisar y empezar a generar conversaciones.,Pide la GUÍA.
Solución,Primer paso,"Si no sabes qué publicar, no empieces por vender. Empieza por una pregunta concreta sobre el problema del cliente.",Guarda este consejo.
Solución,Sistema de 30 días,Con un sistema de 30 días puedes publicar con coherencia y aprender mucho más rápido qué conecta.,Escríbeme 30D si lo quieres.
Solución,Contenido y WhatsApp,El contenido no cierra solo. Su trabajo es abrir la puerta a una conversación por mensaje.,¿Quieres ver el flujo?
Solución,Promesa realista,"No prometas ventas rápidas. Promete claridad, constancia y conversaciones de calidad.",Comenta REALISTA.
Conversación,DM natural,"Si te interesa, te puedo enseñar el tipo de publicación que usaría en tu nicho.",Escribe tu nicho.
Conversación,Respuesta personalizada,"No te voy a mandar un texto genérico. Si me dices tu caso, te respondo con un ejemplo adaptado.",Mándame un mensaje.
Conversación,Invitación a explicar,"Si quieres, te explico cómo convertir una publicación en una conversación sin parecer spam.",Escribe AYUDA.
Conversación,Elegir formato,"¿Qué te resulta más natural: post, story o reel? Según eso te puedo sugerir el mejor primer paso.",Comenta tu formato.
Conversación,Siguiente paso,Lo importante no es publicar mucho. Lo importante es saber qué hacer cuando alguien muestra interés.,Escribe CONVERSAR.
