N,Categoria,Prompt
1,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
2,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
3,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
4,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
5,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
6,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
7,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
8,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
9,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
10,Captación local,"Actúa como experto en marketing dental LATAM y ayúdame a crear una campaña local para captar pacientes interesados en [tratamiento] en [ciudad]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
11,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
12,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
13,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
14,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
15,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
16,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
17,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
18,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
19,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
20,WhatsApp,"Actúa como experto en marketing dental LATAM y ayúdame a mejorar una respuesta de WhatsApp para convertir una consulta en cita. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
21,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
22,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
23,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
24,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
25,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
26,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
27,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
28,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
29,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
30,Presupuestos,"Actúa como experto en marketing dental LATAM y ayúdame a hacer seguimiento de un presupuesto dental sin sonar insistente. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
31,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
32,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
33,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
34,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
35,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
36,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
37,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
38,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
39,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
40,Reseñas,"Actúa como experto en marketing dental LATAM y ayúdame a pedir una reseña de Google de forma elegante y breve. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
41,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
42,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
43,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
44,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
45,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
46,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
47,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
48,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
49,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
50,RRSS,"Actúa como experto en marketing dental LATAM y ayúdame a crear un post educativo para Instagram sobre [tema dental]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
51,Reels,"Actúa como experto en marketing dental LATAM y ayúdame a crear un guion de Reel de 20 segundos para [tratamiento]. Usa lenguaje claro, ético, sin prometer resultados médicos, con CTA a valoración y una versión corta para WhatsApp. Caso: [describe tu clínica, ciudad, tratamiento, precio orientativo y objeción frecuente]."
