Codigo,Categoria,Prompt
Prompt 001,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito analizar mis servicios actuales y detectar cuáles deberían ser mis tratamientos estrella. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 002,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una propuesta de valor clara para mi centro de estética en {ciudad}. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 003,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito definir el perfil de clienta ideal para tratamientos faciales, corporales y bienestar. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 004,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito identificar los principales huecos de mi agenda y proponer acciones para llenarlos. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 005,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mapa de campañas para los próximos 30 días. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 006,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diferenciar mi centro de competidores que compiten solo por precio. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 007,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una política simple de reservas, cambios y cancelaciones. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 008,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar una experiencia post-tratamiento para aumentar recompra. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 009,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito preparar una oferta de entrada rentable para nuevas clientas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 010,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito convertir servicios sueltos en planes de seguimiento. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
