dia,fase,accion,resultado,hecho
1,Preparación,Elegir un nicho,,
2,Preparación,Completar el perfil,,
3,Preparación,Estudiar un producto,,
4,Preparación,Definir audiencia,,
5,Preparación,Escribir propuesta,,
6,Preparación,Preparar registro,,
7,Preparación,Revisar semana,,
8,Contenido,Publicar problema,,
9,Contenido,Publicar consejo,,
10,Contenido,Crear demostración,,
11,Contenido,Responder objeción,,
12,Contenido,Presentar oferta,,
13,Contenido,Conversar con interesados,,
14,Contenido,Revisar métricas,,
15,Conversación,Pedir feedback,,
16,Conversación,Publicar caso de uso,,
17,Conversación,Crear FAQ,,
18,Conversación,Hacer seguimiento,,
19,Conversación,Compartir checklist,,
20,Conversación,Contar aprendizaje,,
21,Conversación,Revisar métricas,,
22,Optimización,Repetir mejor formato,,
23,Optimización,Mejorar gancho,,
24,Optimización,Probar otro canal,,
25,Optimización,Publicar comparación,,
26,Optimización,Hacer oferta clara,,
27,Optimización,Ordenar contactos,,
28,Optimización,Cerrar mes,,
29,Cierre,Resumir aprendizajes y objeciones,,
30,Cierre,Planificar el siguiente mes,,
