Situacion,Objetivo,Mensaje
Primer contacto,Responder sin vender solo por precio,"Hola [nombre], gracias por escribir a [clínica]. Para orientarte bien, ¿qué tratamiento te interesa y en qué ciudad/zona estás?"
Pregunta por precio,Llevar a valoración,El precio depende del diagnóstico y del plan indicado por el doctor. Podemos agendar una valoración para darte una opción real y evitarte información incompleta.
Confirmación 24h,Reducir no-show,"Hola [nombre], confirmamos tu cita mañana a las [hora]. Responde CONFIRMO para mantener tu espacio."
No confirma,Recuperar respuesta,"Hola [nombre], necesitamos confirmar tu cita de mañana. Si no puedes asistir, avísanos para ofrecerte otro horario."
No show,Reagendar,"Hola [nombre], hoy no pudimos verte en la clínica. ¿Quieres que te proponga dos horarios para reagendar esta semana?"
Presupuesto enviado,Dar seguimiento,"Hola [nombre], ¿pudiste revisar el plan de tratamiento que te explicamos? Si quieres, te ayudamos a resolver dudas de tiempos, pagos o fases."
Objeción caro,Reencuadrar valor,"Te entiendo. Lo importante es comparar diagnóstico, materiales, experiencia y seguimiento, no solo el precio inicial. Podemos revisar opciones por fases."
Financiación,Facilitar decisión,Podemos orientarte con alternativas de pago o dividir el tratamiento por etapas cuando el caso lo permite. Lo revisamos contigo según tu diagnóstico.
Post tratamiento,Cuidar experiencia,"Hola [nombre], ¿cómo te has sentido después de tu cita? Cualquier molestia o duda, responde este mensaje y te orientamos."
Pedir reseña,Mejorar reputación,"Nos alegra haberte atendido. Si tu experiencia fue buena, tu reseña en Google ayuda a otros pacientes a elegir con confianza: [link]."
