Dia,Objetivo,Formato,Tema,CTA
Día 1,Presentarte,Post,Cuenta por qué estás aprendiendo a vender productos digitales.,Pregunta: ¿qué te gustaría monetizar?
Día 2,Detectar dolor,Story,Pregunta qué es lo que más frena a quien quiere vender online.,Usa encuesta o caja de preguntas.
Día 3,Educar,Carrusel,Tres errores que bloquean a un afiliado principiante.,Invita a guardar el contenido.
Día 4,Interacción,Post,Haz una comparación entre improvisar y usar un plan.,Pide que comenten 'PLAN'.
Día 5,Presentar solución,Reel,Explica qué cambia cuando tienes un sistema de publicaciones.,CTA a mensaje privado.
Día 6,Confianza,Post,Comparte una historia personal o una lección reciente.,Pregunta si se identifican.
Día 7,Conversación,Story,Abre conversación con una palabra clave.,Pide responder 'GUÍA'.
Día 8,Objeción,Post,Habla del miedo a parecer spam y cómo evitarlo.,Invita a comentar la objeción.
Día 9,Autoridad,Carrusel,Checklist de lo que revisar antes de recomendar un producto.,CTA a guardar.
Día 10,Diagnóstico,Post,Describe una situación típica del cliente ideal.,Pregunta si está en esa fase.
Día 11,Valor rápido,Reel,Comparte un tip de contenido aplicable en 30 minutos.,CTA a compartir.
Día 12,Interacción,Story,Haz una encuesta entre tres problemas frecuentes.,Usa opción múltiple.
Día 13,Error común,Post,Habla del error de publicar solo enlaces.,Pide escribir 'sí' o 'no'.
Día 14,Microprueba,Carrusel,Ejemplo de antes/después de un mensaje mejor redactado.,Invita a guardar.
Día 15,Confianza,Post,Cuenta qué aprendiste después de varias publicaciones.,Pregunta si quieren el guion.
Día 16,Conversación,Story,Lanza una caja de preguntas sobre ventas o afiliación.,Responde luego en privado.
Día 17,Educar,Post,Tres señales de que tu contenido no está llamando a la acción.,CTA a comentar 'REVISAR'.
Día 18,Visual,Carrusel,Explica un mini proceso paso a paso.,Invita a enviar DM.
Día 19,Relevancia,Reel,Gancho sobre el error que casi todos repiten al empezar.,Pide guardar el vídeo.
Día 20,Conversación,Post,Pregunta cuál es el mayor freno para publicar constante.,Invita a responder en comentarios.
Día 21,Oferta suave,Story,Presenta un recurso gratuito sin vender agresivamente.,Deja CTA a palabra clave.
Día 22,Educar,Post,Explica la diferencia entre contenido útil y contenido promocional.,Pregunta en qué fase están.
Día 23,Confianza,Post,Comparte un mini caso o resultado realista.,Invita a pedir el ejemplo.
Día 24,Interacción,Story,Haz una votación sobre qué formato cuesta más.,Usa sticker.
Día 25,Producto,Carrusel,Habla de cómo presentar una solución sin forzar compra.,Pide guardar.
Día 26,Conversación,Post,Invita a escribir una palabra y responderás con un ejemplo.,CTA a comentario.
Día 27,Objeción,Reel,Responde a 'todavía no tengo audiencia'.,CTA a DM.
Día 28,Seguimiento,Post,Explica por qué seguir a quien mostró interés sin insistir.,Pregunta quién quiere plantilla.
Día 29,Llamada a acción,Story,Recuerda que quien no pregunta no avanza.,CTA a responder.
Día 30,Cierre del ciclo,Post,Resume qué has aprendido en 30 días y cuál será tu siguiente paso.,Invita a conversar.
